Frequency,Impedance,Phase,Real,Imaginary,Magnitude,
 30000 , 199628.488396198 ,-4.03022559215458E-02 ,-471 ,-178 , 503.512661211215 
 30002 , 200655.266601741 ,-0.173417530575591 ,-469 ,-176 , 500.93612367247 
 30004 , 200746.886270826 , 8.10561106027023E-02 ,-468 ,-178 , 500.707499444536 
 30006 , 200372.797263324 , 4.04525217060154E-02 ,-469 ,-178 , 501.642302841377 
 30008 , 201030.942891884 ,-0.133156676760848 ,-468 ,-176 , 500 
 30010 , 200372.797263324 , 4.04525217060154E-02 ,-469 ,-178 , 501.642302841377 
 30012 , 201122.273140565 , 0.121811573486042 ,-467 ,-178 , 499.772948447593 
 30014 , 200372.797263324 , 4.04525217060154E-02 ,-469 ,-178 , 501.642302841377 
 30016 , 201498.964024168 , 0.162719722583944 ,-466 ,-178 , 498.838651269125 
 30018 , 200889.165171154 ,-2.59745588516012E-02 ,-468 ,-177 , 500.352875478896 
 30020 , 200230.817356381 , 0.147161160388976 ,-469 ,-179 , 501.998007964175 
 30022 , 199960.02529053 , 0.973896794245633 ,-467 ,-186 , 502.677829230612 
 30024 , 200889.165171154 ,-2.59745588516012E-02 ,-468 ,-177 , 500.352875478896 
 30026 , 200372.797263324 , 4.04525217060154E-02 ,-469 ,-178 , 501.642302841377 
 30028 , 199858.810530481 , 0.106538899562793 ,-470 ,-179 , 502.932401024233 
 30030 , 200372.797263324 , 4.04525217060154E-02 ,-469 ,-178 , 501.642302841377 
 30032 , 200655.266601741 ,-0.173417530575591 ,-469 ,-176 , 500.93612367247 
 30034 , 200000 , 0 ,-470 ,-178 , 502.57735722971 
 30036 , 200000 , 0 ,-470 ,-178 , 502.57735722971 
 30038 , 201439.878046128 , 0.525492079636848 ,-465 ,-181 , 498.984969713518 
 30040 , 200230.817356381 , 0.147161160388976 ,-469 ,-179 , 501.998007964175 
 30042 , 200514.281680546 ,-6.64071832692912E-02 ,-469 ,-177 , 501.288340179582 
 30044 , 200834.622584728 , 0.335757214888957 ,-467 ,-180 , 500.488761112575 
 30046 , 200655.266601741 ,-0.173417530575591 ,-469 ,-176 , 500.93612367247 
 30048 , 200889.165171154 ,-2.59745588516012E-02 ,-468 ,-177 , 500.352875478896 
 30050 , 200088.345963917 , 0.253718314207902 ,-469 ,-180 , 502.355451846598 
 30052 , 198696.850207817 , 0.343451447113267 ,-472 ,-182 , 505.873501974555 
 30054 , 200280.893442606 ,-0.213528170519027 ,-470 ,-176 , 501.872493767092 
 30056 , 200978.695222441 , 0.228860946741804 ,-467 ,-179 , 500.129983104393 
 30058 , 200372.797263324 , 4.04525217060154E-02 ,-469 ,-178 , 501.642302841377 
 30060 , 200140.695628391 ,-0.106689164456043 ,-470 ,-177 , 502.224053585648 
 30062 , 200088.345963917 , 0.253718314207902 ,-469 ,-180 , 502.355451846598 
 30064 , 200655.266601741 ,-0.173417530575591 ,-469 ,-176 , 500.93612367247 
 30066 , 199858.810530481 , 0.106538899562793 ,-470 ,-179 , 502.932401024233 
 30068 , 201407.928529995 ,-0.092744803651243 ,-467 ,-176 , 499.064124136368 
 30070 , 200000 , 0 ,-470 ,-178 , 502.57735722971 
 30072 , 201642.849171622 , 5.53458496432597E-02 ,-466 ,-177 , 498.482697794016 
 30074 , 200088.345963917 , 0.253718314207902 ,-469 ,-180 , 502.355451846598 
 30076 , 199145.594469566 , 0.636964982724692 ,-470 ,-184 , 504.733593096398 
 30078 , 198750.446148912 ,-1.44269620999466E-02 ,-473 ,-179 , 505.737085845996 
 30080 , 200655.266601741 ,-0.173417530575591 ,-469 ,-176 , 500.93612367247 
 30082 , 201172.215391153 ,-0.240489813056229 ,-468 ,-175 , 499.648876712437 
 30084 , 200000 , 0 ,-470 ,-178 , 502.57735722971 
 30086 , 200372.797263324 , 4.04525217060154E-02 ,-469 ,-178 , 501.642302841377 
 30088 , 200372.797263324 , 4.04525217060154E-02 ,-469 ,-178 , 501.642302841377 
 30090 , 201586.068932184 , 0.418410202463321 ,-465 ,-180 , 498.62310415784 
 30092 , 199165.531096172 ,-0.33296678046284 ,-473 ,-176 , 504.683068865996 
 30094 , 200698.460244795 ,-0.534939925062815 ,-470 ,-173 , 500.82831389609 
 30096 , 200185.145762613 ,-0.46727100525834 ,-471 ,-174 , 502.112537186635 
 30098 , 202309.533278633 ,-0.119318230969526 ,-465 ,-175 , 496.840014491587 
 30100 , 199513.625535525 , 0.678423897446947 ,-469 ,-184 , 503.802540684344 
 30102 , 198889.297994502 ,-0.120459149336995 ,-473 ,-178 , 505.384012410365 
 30104 , 202256.282608385 , 0.244997355751451 ,-464 ,-178 , 496.970824093326 
 30106 , 202165.85289092 ,-1.14647505464802E-02 ,-465 ,-176 , 497.193121432708 
 30108 , 200028.115388067 , 0.613923059014297 ,-468 ,-183 , 502.506716373025 
 30110 , 200372.797263324 , 4.04525217060154E-02 ,-469 ,-178 , 501.642302841377 
 30112 , 200460.841088673 , 0.294661411073037 ,-468 ,-180 , 501.421977978628 
 30114 , 199001.525258891 , 0.742593702656137 ,-470 ,-185 , 505.099000196991 
 30116 , 201439.878046128 , 0.525492079636848 ,-465 ,-181 , 498.984969713518 
 30118 , 200978.695222441 , 0.228860946741804 ,-467 ,-179 , 500.129983104393 
 30120 , 200372.797263324 , 4.04525217060154E-02 ,-469 ,-178 , 501.642302841377 
 30122 , 199945.387087777 , 0.360123569970227 ,-469 ,-181 , 502.71463077973 
 30124 , 200372.797263324 , 4.04525217060154E-02 ,-469 ,-178 , 501.642302841377 
